"country_name","type4_alt","melim","merepfact","merepgov","merepoth","mevhar","mephar","meinf"
"Ghana",3,0,0,1,1,1,1,1
"Greece",1,0,0,0,0,0,0,1
"Guatemala",3,0,0,0,0,1,1,2
"Guinea",0,0,0,0,0,0,0,0
"Haiti",3,0,0,0,0,1,1,0
"Honduras",3,2,1,1,1,0,0,1
"Hungary",3,2,0,0,0,1,0,2
"India",3,1,1,1,1,1,1,2
"Indonesia",3,0,0,0,1,0,0,2
"Iran",3,1,1,1,1,1,1,2
"Iraq",3,0,1,1,0,1,1,1
"Ireland",0,0,0,0,0,0,0,0
"Israel",0,0,0,0,0,0,0,0
"Italy",1,0,0,0,0,0,0,1
"Ivory Coast",3,0,1,1,0,0,0,1
"Jamaica",0,0,0,0,0,0,0,0
"Japan",0,0,0,0,0,0,0,0
"Jordan",3,1,1,1,1,1,1,0
"Kazakhstan",3,2,0,1,0,0,1,1
"Kenya",3,1,0,1,0,1,1,1
"Kuwait",0,0,0,0,0,0,0,0
"Kyrgyzstan",3,2,0,1,0,0,0,2
"Laos",3,3,1,1,1,0,0,2
"Lebanon",0,0,0,0,0,0,0,0
"Lesotho",1,1,0,0,0,0,0,0
"Liberia",3,1,0,1,0,1,1,2
"Libya",0,0,0,0,0,0,0,0
"Lithuania",0,0,0,0,0,0,0,0
"Madagascar",3,3,1,1,1,0,1,2
"Malawi",0,0,0,0,0,0,0,0
"Malaysia",3,0,1,1,0,1,1,0
"Mali",3,0,0,1,0,0,0,0
"Mauritania",0,0,0,0,0,0,0,0
"Mexico",2,0,0,0,0,1,0,1
"Moldova",3,1,0,1,0,1,0,1
"Mongolia",3,1,1,1,0,0,0,0
"Morocco",3,2,0,0,0,1,1,2
"Mozambique",0,0,0,0,0,0,0,0
"Namibia",3,1,0,1,0,0,0,1
"Nepal",3,0,0,1,0,0,1,0
"Netherlands",0,0,0,0,0,0,0,0
"New Zealand",0,0,0,0,0,0,0,0
"Nicaragua",3,0,1,1,0,1,0,2
"Niger",3,0,1,1,0,1,1,1
"Nigeria",3,1,1,1,1,1,1,2
"North Korea",0,0,0,0,0,0,0,0
"North Macedonia",0,0,0,0,0,0,0,0
"Norway",0,0,0,0,0,0,0,0
"Oman",3,3,1,1,1,0,0,0
"Pakistan",0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0
"Papua New Guinea",2,0,1,0,0,1,0,1
"Paraguay",0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0
"Philippines",3,1,0,1,1,0,0,2
"Poland",3,0,0,0,1,0,1,0
"Portugal",0,0,0,0,0,0,0,0
"Qatar",0,0,0,0,0,0,0,0
"Republic of the Congo",3,0,1,1,0,0,0,1
"Romania",1,1,0,0,0,0,0,1
"Russia",3,2,1,1,0,1,0,2
"Rwanda",3,0,0,1,1,0,1,0
"Saudi Arabia",0,0,0,0,0,0,0,0
"Senegal",3,0,0,0,0,0,1,0
"Serbia",3,2,0,1,0,1,1,2
"Sierra Leone",3,0,0,1,0,0,1,1
"Singapore",0,0,0,0,0,0,0,0
"Slovakia",0,0,0,0,0,0,0,0
"Slovenia",2,0,0,0,0,1,0,1
"Somalia",3,0,1,1,0,1,1,2
"South Africa",3,2,0,1,0,1,1,0
"South Korea",0,0,0,0,0,0,0,0
"South Sudan",0,0,0,0,0,0,0,0
"Spain",1,0,0,0,0,0,0,1
"Sri Lanka",0,0,0,0,0,0,0,0
"Sudan",0,0,0,0,0,0,0,0
"Sweden",0,0,0,0,0,0,0,0
"Switzerland",0,0,0,0,0,0,0,0
"Syria",3,0,1,1,0,1,0,2
"Taiwan",1,1,0,0,0,0,0,0
"Tajikistan",3,0,0,0,0,1,1,1
"Tanzania",3,0,0,1,0,0,0,0
"Thailand",3,2,0,0,1,0,0,1
"The Gambia",0,0,0,0,0,0,0,0
"Togo",0,0,0,0,0,0,0,0
"Tunisia",0,0,0,0,0,0,0,0
"Turkey",3,0,1,1,0,1,1,2
"Turkmenistan",0,0,0,0,0,0,0,0
"Uganda",3,0,0,1,0,0,1,1
"Ukraine",3,0,0,1,1,0,1,1
"United Arab Emirates",1,1,0,0,0,0,0,0
"United Kingdom",1,0,0,0,0,0,0,1
"United States of America",2,0,0,0,0,1,0,1
"Uruguay",0,0,0,0,0,0,0,0
"Uzbekistan",3,2,0,1,0,0,0,0
"Venezuela",3,0,0,1,0,1,1,2
"Vietnam",0,0,0,0,0,0,0,0
"Yemen",1,0,0,0,0,0,0,1
"Zambia",0,0,0,0,0,0,0,0
"Zimbabwe",3,0,0,1,0,1,1,2
